Diagnosis,Diagnosis_categories,Finished Admission Episodes,Emergency,Waiting list,Planned,Other,Mean_time_waited,Mean_length_of_stay,Young Children,Older Children and Adolescents,Young Adults,Middle-Aged Adults,Older Adults,Elderly 90+,Emergency Admission Ratio (%),Overcrowding_Status
Cholera,Certain infectious and parasitic diseases,9,6,3.0,0.0,0.0,207.0,4.0,0,0.0,3.0,12.0,2,0,66.66666666666666,0
Typhoid and paratyphoid fevers,Certain infectious and parasitic diseases,644,467,66.0,110.0,1.0,2.0,6.0,47,214.0,470.0,206.0,39,0,72.51552795031056,0
Other salmonella infections,Certain infectious and parasitic diseases,1302,1076,153.0,62.0,11.0,2.0,5.0,209,222.0,603.0,621.0,474,19,82.642089093702,0
Shigellosis,Certain infectious and parasitic diseases,361,321,22.0,17.0,1.0,3.0,4.0,33,63.0,202.0,146.0,99,8,88.9196675900277,1
Other bacterial intestinal infections,Certain infectious and parasitic diseases,14797,12025,2427.0,251.0,94.0,37.0,9.0,457,701.0,3916.0,7224.0,15526,1927,81.26647293370279,0
"Other bacterial foodborne intoxications, not elsewhere classified",Certain infectious and parasitic diseases,494,479,7.0,3.0,5.0,25.0,2.0,10,41.0,221.0,184.0,200,17,96.96356275303644,1
Amoebiasis,Certain infectious and parasitic diseases,42,19,19.0,4.0,0.0,50.0,13.0,3,2.0,12.0,25.0,21,0,45.23809523809524,0
Other protozoal intestinal diseases,Certain infectious and parasitic diseases,379,325,47.0,6.0,1.0,34.0,4.0,44,65.0,184.0,159.0,127,7,85.75197889182058,1
Viral and other specified intestinal infections,Certain infectious and parasitic diseases,23836,23252,286.0,204.0,94.0,43.0,2.0,9893,5156.0,3713.0,4004.0,6814,1123,97.54992448397383,1
Other gastroenteritis and colitis of infectious and unspecified origin,Certain infectious and parasitic diseases,100691,76261,21916.0,2125.0,389.0,44.0,3.0,11728,8391.0,26166.0,35725.0,48870,5147,75.73765281902057,0
"Respiratory tuberculosis, bacteriologically and histologically confirmed",Certain infectious and parasitic diseases,1048,657,309.0,63.0,19.0,11.0,20.0,29,92.0,1088.0,862.0,475,7,62.69083969465649,0
"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Certain infectious and parasitic diseases,714,439,222.0,42.0,11.0,13.0,14.0,32,60.0,581.0,448.0,270,11,61.484593837535016,0
Tuberculosis of nervous system,Certain infectious and parasitic diseases,159,84,36.0,22.0,17.0,13.0,43.0,11,37.0,187.0,136.0,47,0,52.83018867924528,0
Tuberculosis of other organs,Certain infectious and parasitic diseases,487,301,125.0,45.0,16.0,19.0,14.0,14,36.0,492.0,304.0,88,7,61.80698151950719,0
Miliary tuberculosis,Certain infectious and parasitic diseases,192,153,20.0,12.0,7.0,5.0,27.0,7,30.0,260.0,211.0,63,1,79.6875,0
Tularaemia,Certain infectious and parasitic diseases,3,3,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,3.0,0,0,100.0,1
Anthrax,Certain infectious and parasitic diseases,2,1,0.0,0.0,1.0,0.0,11.0,0,0.0,0.0,1.0,1,0,50.0,0
Brucellosis,Certain infectious and parasitic diseases,43,14,28.0,0.0,1.0,1.0,5.0,0,0.0,9.0,39.0,2,0,32.55813953488372,0
Glanders and melioidosis,Certain infectious and parasitic diseases,9,4,4.0,0.0,1.0,44.0,11.0,0,0.0,0.0,18.0,1,0,44.44444444444444,0
Rat-bite fevers,Certain infectious and parasitic diseases,2,2,0.0,0.0,0.0,0.0,21.0,0,1.0,0.0,2.0,1,0,100.0,1
Erysipeloid,Certain infectious and parasitic diseases,30,25,4.0,1.0,0.0,1.0,1.0,2,11.0,7.0,8.0,3,3,83.33333333333334,0
Leptospirosis,Certain infectious and parasitic diseases,74,68,4.0,1.0,1.0,1.0,9.0,0,8.0,46.0,75.0,28,0,91.8918918918919,1
"Other zoonotic bacterial diseases, not elsewhere classified",Certain infectious and parasitic diseases,38,29,8.0,1.0,0.0,12.0,10.0,2,3.0,4.0,24.0,52,4,76.31578947368422,0
Leprosy [Hansen disease],Certain infectious and parasitic diseases,4,1,3.0,0.0,0.0,29.0,8.0,0,0.0,3.0,3.0,0,0,25.0,0
Infection due to other mycobacteria,Certain infectious and parasitic diseases,721,189,390.0,138.0,4.0,15.0,16.0,32,22.0,95.0,353.0,624,6,26.21359223300971,0
Listeriosis,Certain infectious and parasitic diseases,86,77,2.0,1.0,6.0,0.0,23.0,10,0.0,15.0,103.0,115,14,89.53488372093024,1
Other tetanus,Certain infectious and parasitic diseases,21,19,2.0,0.0,0.0,260.0,6.0,0,0.0,21.0,7.0,7,1,90.47619047619048,1
Diphtheria,Certain infectious and parasitic diseases,14,11,2.0,1.0,0.0,1.0,8.0,0,6.0,6.0,8.0,6,0,78.57142857142857,0
Whooping cough,Certain infectious and parasitic diseases,486,460,13.0,8.0,5.0,16.0,3.0,416,64.0,22.0,29.0,26,0,94.65020576131687,1
Scarlet fever,Certain infectious and parasitic diseases,1330,1253,36.0,34.0,7.0,4.0,1.0,717,641.0,36.0,6.0,0,0,94.21052631578948,1
Meningococcal infection,Certain infectious and parasitic diseases,478,424,20.0,20.0,14.0,5.0,8.0,171,117.0,271.0,166.0,95,8,88.70292887029288,1
Streptococcal sepsis,Certain infectious and parasitic diseases,4310,4019,99.0,134.0,58.0,17.0,16.0,392,205.0,534.0,2391.0,6164,949,93.24825986078886,1
Other sepsis,Certain infectious and parasitic diseases,104775,100122,1833.0,1924.0,896.0,42.0,11.0,5490,2198.0,9908.0,46715.0,142012,21390,95.55905511811024,1
Actinomycosis,Certain infectious and parasitic diseases,96,44,32.0,20.0,0.0,48.0,12.0,2,4.0,29.0,63.0,46,1,45.83333333333333,0
Nocardiosis,Certain infectious and parasitic diseases,22,3,2.0,17.0,0.0,0.0,34.0,0,0.0,0.0,5.0,44,0,13.636363636363635,0
Bartonellosis,Certain infectious and parasitic diseases,2,1,0.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,0,0,50.0,0
Erysipelas,Certain infectious and parasitic diseases,258,231,14.0,13.0,0.0,2.0,3.0,12,10.0,23.0,182.0,125,14,89.53488372093024,1
"Other bacterial diseases, not elsewhere classified",Certain infectious and parasitic diseases,420,386,17.0,9.0,8.0,4.0,11.0,28,35.0,68.0,453.0,451,8,91.9047619047619,1
Bacterial infection of unspecified site,Certain infectious and parasitic diseases,8372,6885,715.0,633.0,139.0,21.0,12.0,572,514.0,1164.0,4255.0,11281,1646,82.2384137601529,0
Congenital syphilis,Certain infectious and parasitic diseases,19,8,0.0,0.0,11.0,0.0,9.0,0,0.0,0.0,0.0,0,0,42.10526315789473,0
Early syphilis,Certain infectious and parasitic diseases,102,43,35.0,23.0,1.0,28.0,4.0,0,0.0,0.0,0.0,0,0,42.15686274509804,0
Late syphilis,Certain infectious and parasitic diseases,298,113,117.0,66.0,2.0,13.0,8.0,0,0.0,0.0,0.0,0,0,37.919463087248324,0
Other and unspecified syphilis,Certain infectious and parasitic diseases,83,28,23.0,32.0,0.0,12.0,11.0,0,0.0,0.0,0.0,0,0,33.734939759036145,0
Gonococcal infection,Certain infectious and parasitic diseases,254,198,24.0,28.0,4.0,40.0,4.0,0,0.0,0.0,0.0,0,0,77.95275590551181,0
Chlamydial lymphogranuloma (venereum),Certain infectious and parasitic diseases,9,6,3.0,0.0,0.0,21.0,4.0,0,0.0,0.0,0.0,0,0,66.66666666666666,0
Other sexually transmitted chlamydial diseases,Certain infectious and parasitic diseases,164,156,4.0,3.0,1.0,148.0,2.0,0,0.0,0.0,0.0,0,0,95.1219512195122,1
Chancroid,Certain infectious and parasitic diseases,1,0,1.0,0.0,0.0,176.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
Trichomoniasis,Certain infectious and parasitic diseases,21,18,2.0,1.0,0.0,27.0,1.0,0,1.0,2.0,0.0,0,0,85.71428571428571,1
Anogenital herpesviral [herpes simplex] infection,Certain infectious and parasitic diseases,369,352,10.0,4.0,3.0,8.0,2.0,0,0.0,0.0,0.0,0,0,95.39295392953929,1
"Other predominantly sexually transmitted diseases, not elsewhere classified",Certain infectious and parasitic diseases,1128,49,1026.0,49.0,4.0,86.0,3.0,0,0.0,0.0,0.0,0,0,4.343971631205674,0
Unspecified sexually transmitted disease,Certain infectious and parasitic diseases,27,26,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0,96.29629629629629,1
Nonvenereal syphilis,Certain infectious and parasitic diseases,1,0,1.0,0.0,0.0,223.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0
Yaws,Certain infectious and parasitic diseases,7,1,5.0,1.0,0.0,37.0,0.0,0,1.0,1.0,3.0,2,0,14.285714285714285,0
Relapsing fevers,Certain infectious and parasitic diseases,18,9,3.0,6.0,0.0,7.0,1.0,2,7.0,1.0,2.0,1,0,50.0,0
Other spirochaetal infections,Certain infectious and parasitic diseases,507,254,173.0,62.0,18.0,37.0,4.0,16,82.0,147.0,257.0,93,0,50.09861932938856,0
Chlamydia psittaci infection,Certain infectious and parasitic diseases,6,6,0.0,0.0,0.0,0.0,4.0,0,0.0,5.0,4.0,3,0,100.0,1
Other diseases caused by chlamydiae,Certain infectious and parasitic diseases,50,42,7.0,0.0,1.0,29.0,1.0,0,1.0,2.0,3.0,0,0,84.0,0
Typhus fever,Certain infectious and parasitic diseases,17,16,1.0,0.0,0.0,7.0,4.0,1,2.0,13.0,12.0,0,0,94.11764705882352,1
Spotted fever [tick-borne rickettsioses],Certain infectious and parasitic diseases,8,3,0.0,5.0,0.0,0.0,1.0,0,5.0,0.0,1.0,2,0,37.5,0
Q fever,Certain infectious and parasitic diseases,7,5,2.0,0.0,0.0,11.0,5.0,0,0.0,1.0,3.0,11,0,71.42857142857143,0
Other rickettsioses,Certain infectious and parasitic diseases,5,4,1.0,0.0,0.0,0.0,6.0,0,1.0,4.0,4.0,1,0,80.0,0
Acute poliomyelitis,Certain infectious and parasitic diseases,4,3,0.0,1.0,0.0,0.0,0.0,1,2.0,0.0,0.0,1,0,75.0,0
Atypical virus infections of central nervous system,Certain infectious and parasitic diseases,104,73,12.0,12.0,7.0,28.0,24.0,0,5.0,16.0,88.0,154,0,70.1923076923077,0
Rabies,Certain infectious and parasitic diseases,6,4,0.0,2.0,0.0,0.0,2.0,0,0.0,3.0,5.0,1,0,66.66666666666666,0
Mosquito-borne viral encephalitis,Certain infectious and parasitic diseases,1,1,0.0,0.0,0.0,0.0,72.0,0,0.0,0.0,1.0,3,0,100.0,1
Tick-borne viral encephalitis,Certain infectious and parasitic diseases,9,7,1.0,0.0,1.0,0.0,17.0,4,1.0,2.0,7.0,1,0,77.77777777777779,0
"Other viral encephalitis, not elsewhere classified",Certain infectious and parasitic diseases,73,62,4.0,2.0,5.0,98.0,25.0,31,17.0,45.0,34.0,27,0,84.93150684931507,0
Unspecified viral encephalitis,Certain infectious and parasitic diseases,499,467,11.0,8.0,13.0,2.0,15.0,53,61.0,219.0,332.0,511,23,93.5871743486974,1
Viral meningitis,Certain infectious and parasitic diseases,2677,2579,38.0,46.0,14.0,6.0,4.0,985,182.0,2090.0,707.0,118,3,96.33918565558461,1
"Other viral infections of central nervous system, not elsewhere classified",Certain infectious and parasitic diseases,46,46,0.0,0.0,0.0,0.0,3.0,7,3.0,9.0,12.0,29,10,100.0,1
Unspecified viral infection of central nervous system,Certain infectious and parasitic diseases,27,27,0.0,0.0,0.0,0.0,11.0,3,2.0,12.0,19.0,17,1,100.0,1
Other mosquito-borne viral fevers,Certain infectious and parasitic diseases,21,16,5.0,0.0,0.0,2.0,2.0,0,3.0,6.0,13.0,4,0,76.19047619047619,0
"Other arthropod-borne viral fevers, not elsewhere classified",Certain infectious and parasitic diseases,4,4,0.0,0.0,0.0,0.0,1.0,0,0.0,3.0,1.0,0,0,100.0,1
Unspecified arthropod-borne viral fever,Certain infectious and parasitic diseases,2,2,0.0,0.0,0.0,0.0,2.0,0,0.0,3.0,1.0,0,0,100.0,1
Yellow fever,Certain infectious and parasitic diseases,3,3,0.0,0.0,0.0,0.0,2.0,1,0.0,1.0,2.0,0,0,100.0,1
Dengue,Certain infectious and parasitic diseases,343,291,33.0,15.0,4.0,1.0,3.0,5,27.0,200.0,214.0,31,0,84.8396501457726,0
"Other viral haemorrhagic fevers, not elsewhere classified",Certain infectious and parasitic diseases,2,1,0.0,0.0,1.0,0.0,10.0,0,0.0,2.0,1.0,0,0,50.0,0
Unspecified viral haemorrhagic fever,Certain infectious and parasitic diseases,8,6,2.0,0.0,0.0,7.0,1.0,2,0.0,3.0,4.0,2,0,75.0,0
Herpesviral [herpes simplex] infections,Certain infectious and parasitic diseases,3069,2704,202.0,128.0,35.0,67.0,6.0,1382,744.0,821.0,646.0,520,44,88.1068752036494,1
Varicella [chickenpox],Certain infectious and parasitic diseases,3127,2931,87.0,72.0,37.0,14.0,3.0,1882,871.0,500.0,220.0,149,14,93.73201151263191,1
Zoster [herpes zoster],Certain infectious and parasitic diseases,3534,3215,194.0,94.0,31.0,89.0,6.0,84,291.0,500.0,1262.0,2906,622,90.97340124504811,1
Monkeypox,Certain infectious and parasitic diseases,10,10,0.0,0.0,0.0,0.0,5.0,0,0.0,6.0,4.0,0,0,100.0,1
Measles,Certain infectious and parasitic diseases,428,414,7.0,6.0,1.0,8.0,3.0,230,107.0,148.0,47.0,6,0,96.72897196261682,1
Rubella [German measles],Certain infectious and parasitic diseases,3,3,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,0.0,0,0,100.0,1
Viral warts,Certain infectious and parasitic diseases,3169,48,3078.0,43.0,0.0,56.0,1.0,10,150.0,339.0,1119.0,1464,73,1.514673398548438,0
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Certain infectious and parasitic diseases,1666,1506,112.0,42.0,6.0,47.0,1.0,1330,203.0,78.0,81.0,29,0,90.39615846338536,1
Unspecified viral infection characterized by skin and mucous membrane lesions,Certain infectious and parasitic diseases,1091,1045,23.0,21.0,2.0,7.0,1.0,745,216.0,108.0,80.0,38,4,95.78368469294224,1
Acute hepatitis A,Certain infectious and parasitic diseases,448,397,27.0,19.0,5.0,8.0,4.0,38,139.0,332.0,122.0,55,0,88.61607142857143,1
Acute hepatitis B,Certain infectious and parasitic diseases,116,96,11.0,8.0,1.0,29.0,8.0,0,2.0,95.0,80.0,35,0,82.75862068965517,0
Other acute viral hepatitis,Certain infectious and parasitic diseases,1322,1083,159.0,63.0,17.0,8.0,5.0,34,132.0,707.0,735.0,506,21,81.92133131618759,0
